DAMAGE,STRUCTURETYPE,dnbr,dndvi,Slope,Wind,NLCD,Longitude,Latitude,Damage_Code
Destroyed (>50%),Single Family Residence Multi Story,0.0700000,0.0000000,3.7100000,3.0699999,1,-118.659630112125484,34.039128131812092,1
Destroyed (>50%),Single Family Residence Multi Story,0.0900000,0.0500000,8.2200003,3.0699999,1,-118.659489727006118,34.039089508181419,1
Destroyed (>50%),Multi Family Residence Multi Story,-0.0400000,-0.0800000,19.3799992,3.1400001,3,-118.657609326741039,34.039404579157100,1
Destroyed (>50%),Single Family Residence Single Story,0.0600000,-0.0700000,5.8600001,3.1400001,3,-118.656631500672773,34.038810257900359,1
Destroyed (>50%),Single Family Residence Single Story,0.0300000,-0.0400000,4.6599998,3.1400001,3,-118.656064194807968,34.038732028471863,1
Destroyed (>50%),Utility Misc Structure,0.0800000,-0.0100000,4.6599998,3.1400001,3,-118.656212787834008,34.038816883030691,1
Destroyed (>50%),Single Family Residence Multi Story,0.0300000,-0.0200000,10.7700005,3.1400001,1,-118.655711969876592,34.038731285563294,1
Destroyed (>50%),Single Family Residence Multi Story,0.0700000,-0.0100000,10.7700005,3.1400001,3,-118.655607923407132,34.038686035867563,1
Destroyed (>50%),Single Family Residence Single Story,0.1000000,0.0600000,10.7700005,3.1400001,3,-118.655480399467734,34.038654259753642,1
Destroyed (>50%),Utility Misc Structure,0.0900000,0.0500000,10.7700005,3.1400001,3,-118.655429624891227,34.038735368582849,1
Destroyed (>50%),Single Family Residence Single Story,0.0500000,-0.0500000,10.7700005,3.1400001,3,-118.655323078410291,34.038620551914022,1
Destroyed (>50%),Single Family Residence Single Story,0.0500000,-0.0300000,10.7700005,3.1400001,3,-118.655191815682670,34.038607206339321,1
Destroyed (>50%),Single Family Residence Multi Story,0.1200000,0.0100000,11.3500004,3.1400001,3,-118.655034851256488,34.038654052066562,1
Destroyed (>50%),Utility Misc Structure,0.1200000,0.0100000,5.8600001,3.1400001,3,-118.656541652974710,34.038708472758060,1
Destroyed (>50%),Single Family Residence Single Story,0.0800000,0.0400000,4.6599998,3.1400001,1,-118.655903504169899,34.038727926097820,1
Destroyed (>50%),Single Family Residence Multi Story,0.0900000,0.0900000,12.8599997,3.1400001,3,-118.654612205593381,34.038591397547464,1
Destroyed (>50%),Single Family Residence Multi Story,0.1200000,0.1300000,14.3400002,3.1400001,3,-118.654537248369465,34.038523660224506,1
No Damage,Commercial Building Multi Story,0.0600000,0.0100000,3.7100000,3.0699999,3,-118.659762416000547,34.039528747285942,2
Destroyed (>50%),Single Family Residence Multi Story,0.0300000,-0.0500000,14.3400002,3.1400001,1,-118.654377627624967,34.038531303715182,1
Destroyed (>50%),Single Family Residence Multi Story,0.0300000,-0.0600000,15.1899996,3.1400001,1,-118.654242624312459,34.038505103094771,1
No Damage,Commercial Building Single Story,-0.0000000,-0.0700000,12.2100000,3.0699999,3,-118.659413894823146,34.039599416701911,2
Destroyed (>50%),Single Family Residence Multi Story,0.0600000,0.0200000,15.1899996,3.1400001,1,-118.654093302752699,34.038474189672208,1
No Damage,Single Family Residence Multi Story,0.0500000,0.0600000,6.7100000,3.1700001,2,-118.662518352969087,34.041185776845992,2
Destroyed (>50%),Single Family Residence Single Story,0.1200000,0.1200000,10.4899998,2.9800000,2,-118.647053265159840,34.039367044697592,1
No Damage,Single Family Residence Multi Story,0.0400000,-0.0200000,9.7900000,3.0500000,2,-118.648592876047204,34.040836805290297,2
Destroyed (>50%),Utility Misc Structure,0.0000000,-0.0600000,11.1999998,3.0500000,2,-118.648912227130708,34.040936246065279,1
No Damage,Single Family Residence Multi Story,0.0000000,-0.0300000,13.4499998,3.0500000,2,-118.649008773565825,34.041445102849281,2
No Damage,Single Family Residence Multi Story,0.0100000,0.0600000,12.2900000,2.9800000,2,-118.646655810053943,34.039703124275988,2
No Damage,Single Family Residence Multi Story,0.0700000,0.0700000,11.4700003,2.9800000,2,-118.646163493752397,34.039714088378616,2
Destroyed (>50%),Single Family Residence Multi Story,-0.0200000,-0.1000000,15.1300001,2.9800000,3,-118.648704188989001,34.038917320686643,1
Destroyed (>50%),Single Family Residence Multi Story,0.2000000,0.1700000,15.0799999,2.9800000,2,-118.650014094369965,34.040401196614994,1
No Damage,Single Family Residence Multi Story,0.0400000,0.0600000,17.9899998,3.0500000,2,-118.649726631682441,34.041159164661167,2
No Damage,Single Family Residence Multi Story,0.1000000,0.0400000,16.9799995,3.0500000,2,-118.649399467950900,34.041219904982697,2
No Damage,Single Family Residence Single Story,0.0300000,0.0700000,12.8199997,3.0300000,2,-118.645394507123086,34.039708340952821,2
No Damage,Single Family Residence Multi Story,0.1400000,0.1500000,15.8400002,3.0300000,2,-118.645324062136851,34.039861219666335,2
No Damage,Single Family Residence Multi Story,-0.0300000,-0.0800000,12.8199997,3.0300000,2,-118.645158269966302,34.039705665619486,2
Affected (1-9%),Single Family Residence Multi Story,0.0600000,0.0500000,15.3400002,3.0300000,2,-118.644838588302733,34.039706622159123,1
Minor (10-25%),Single Family Residence Single Story,0.1600000,0.2000000,18.0499992,3.0300000,2,-118.644463430280567,34.039445374033249,1
Destroyed (>50%),Single Family Residence Multi Story,0.1100000,0.0500000,21.5499992,3.0300000,2,-118.643916377832099,34.039406544350612,1
Destroyed (>50%),Single Family Residence Multi Story,0.1200000,0.1400000,18.5499992,3.0300000,2,-118.643576846994023,34.039257177607112,1
Minor (10-25%),Single Family Residence Multi Story,0.0100000,-0.0600000,12.8599997,3.1400001,3,-118.654815760243537,34.038578258911031,1
Destroyed (>50%),Utility Misc Structure,0.0300000,0.0300000,5.8600001,3.1400001,3,-118.656781103405265,34.038873799578035,1
Destroyed (>50%),Single Family Residence Multi Story,0.2000000,0.3100000,20.5300007,3.0300000,2,-118.644125249610411,34.039500876560986,1
Destroyed (>50%),Single Family Residence Multi Story,0.1000000,0.0500000,18.5499992,3.0300000,2,-118.643745229007521,34.039120970742495,1
No Damage,Single Family Residence Multi Story,0.0500000,0.0000000,10.9499998,2.9800000,2,-118.647395023819811,34.039482071018533,2
Destroyed (>50%),Single Family Residence Multi Story,0.0100000,0.0600000,11.8999996,3.4200001,2,-118.647965185428930,34.041107987301849,1
No Damage,Single Family Residence Multi Story,0.0300000,-0.0100000,6.2500000,3.4200001,3,-118.648411639141983,34.041748031085262,2
Destroyed (>50%),Single Family Residence Multi Story,0.1300000,0.1400000,8.7799997,3.4200001,2,-118.647784850432302,34.041650458146464,1
Destroyed (>50%),Single Family Residence Multi Story,0.0700000,0.0500000,15.2100000,3.4200001,2,-118.647338835995413,34.041046629811625,1
Destroyed (>50%),Single Family Residence Multi Story,0.0800000,0.1100000,19.8700008,3.0300000,2,-118.645403128254884,34.040260124805279,1
Destroyed (>50%),Single Family Residence Multi Story,0.0700000,0.1100000,21.6000004,3.0300000,2,-118.644953903239170,34.040293276683030,1
